"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Mycoplasma amphoriforme",23.689206486044,-16.0463282720064,3.1087925171063,-5.16159511569545,2.44854425688013e-07,1.91587848871673e-06
"Kwoniella pini",2.86161462934003,16.0355294665553,3.1087630307799,5.15817040661746,2.49374611946722e-07,1.9176047746248e-06
"Akkermansia muciniphila",2.9156073581955,16.0212087259112,3.10871254014825,5.15364753704346,2.55467907043329e-07,1.92150893224761e-06
"Streptomyces sp. NBC_01210",2.96960008705098,16.0044458769429,3.1086637620467,5.14833610258506,2.62807275486781e-07,1.92150893224761e-06
"Brachybacterium kimchii",2.96960008705098,16.0044458769429,3.1086637620467,5.14833610258506,2.62807275486781e-07,1.92150893224761e-06
"Myxococcus fulvus",3.13157827361739,15.9628543852107,3.10852685754496,5.13518303580551,2.81869560505472e-07,2.02764232234581e-06
"Methanosarcina lacustris",157.021338474612,-10.3007871389428,2.02658812540491,-5.08282221227596,3.71867741437245e-07,2.63258750287319e-06
"Neisseria lactamica",392.989562474653,12.3915194723107,2.44940418093098,5.05899335388613,4.21475554402279e-07,2.93715776974088e-06
"[Mycoplasma] cavipharyngis",12.1791965549718,-15.6557661781072,3.10881301280747,-5.0359304704431,4.75533161037995e-07,3.26288907419916e-06
"Micromonospora sp. NBC_00330",83.257841011094,10.1180626484674,2.02879596569031,4.98722533935277,6.12526083813756e-07,4.13919141486266e-06
"Ornithinimicrobium sp. W1665",130.290267339303,-9.94494411422763,2.01289365082544,-4.94062073778685,7.78742529172674e-07,5.18386817926885e-06
"Streptomyces canus",182.222522944003,11.2779551262195,2.34287381297442,4.81372708327876,1.48141088265206e-06,9.71631255386497e-06
"Mycolicibacterium smegmatis",59.6750053610068,9.52013816732649,2.00495604879255,4.74830267379669,2.05130891679751e-06,1.32591851723433e-05
"Serinicoccus hydrothermalis",183.995615376694,11.3167810721329,2.42062365056517,4.67515099651722,2.93737414871134e-06,1.87152695760751e-05
"Streptomyces sp. NBC_00829",125.363323213174,10.6629532658015,2.41259467816771,4.4197035508259,9.88363888357429e-06,6.20859569306216e-05
"Candidatus Phaeomarinibacter ectocarpi",97.544709558022,10.2029096259652,2.33376771184608,4.37186167851058,1.23191566951128e-05,7.63103317502819e-05
"Streptomyces ipomoeae",88.8606151540469,10.2298338468994,2.35332264814228,4.34697462966875,1.38028177653335e-05,8.43295441553252e-05
"Trichoderma atroviride",100.361068610417,12.8894352045332,3.04598682055294,4.2316122701389,2.32022129731589e-05,0.000139840364676066
"Lentzea sp. HUAS TT2",50.3882668326539,-8.49429223041182,2.01906543037042,-4.2070415859943,2.58735543023782e-05,0.000153861402918142
"Rhodobacter capsulatus",62.4631900611165,12.7586212256256,3.04632450008355,4.18820162634534,2.81173664299023e-05,0.000165004545101795
"Porcisia hertigi",119.560254973272,-9.77707310356278,2.33695211239451,-4.18368568688595,2.86820606249711e-05,0.000166132455048534
"Kolteria novifilia",29.1824655807391,9.42969169728452,2.30105599033019,4.09798446318181,4.16763247204307e-05,0.000238303087504001
"Lysobacter sp. 5GHs7-4",55.9615063058103,9.4241921925926,2.31963414185221,4.0627924992807,4.84891301320175e-05,0.00027374875998582
